iter	Passed	Remaining
985	18126	257
986	18147	239
987	18168	220
988	18191	202
989	18212	183
990	18231	165
991	18251	147
992	18271	128
993	18290	110
994	18308	92
995	18330	73
996	18355	55
997	18372	36
998	18390	18
999	18407	0
