tiraz,1-number,2-number,3-number,4-number,5-number,6-number,7-number,datetime,jackpot
3607,15,3,23,2,43,25,16,2016-09-04 20:35:00,100000000
3608,15,10,48,30,7,39,36,2016-09-04 22:35:00,100000000
3609,39,10,42,14,28,32,7,2016-09-05 12:35:00,100000000
3610,17,48,18,27,5,8,47,2016-09-05 14:35:00,100000000
3611,18,29,3,7,46,1,2,2016-09-05 16:35:00,100000000
3612,43,23,19,38,21,28,45,2016-09-05 18:35:00,100000000
3613,42,45,32,49,29,5,7,2016-09-05 20:35:00,100000000
3614,11,16,25,2,7,39,5,2016-09-05 22:35:00,100000000
3615,5,8,19,11,17,3,44,2016-09-06 12:35:00,100000000
3616,43,13,6,48,7,38,11,2016-09-06 14:35:00,100000000
3617,6,19,2,43,35,16,10,2016-09-06 16:35:00,100000000
3618,40,2,45,17,5,31,47,2016-09-06 18:35:00,100000000
3619,30,26,37,39,15,35,21,2016-09-06 20:35:00,100000000
3620,41,44,8,16,15,30,29,2016-09-06 22:35:00,100000000
3621,13,41,47,17,27,12,18,2016-09-07 12:35:00,100000000
3622,34,20,10,1,23,49,33,2016-09-07 14:35:00,100000000
3623,39,43,35,45,37,18,26,2016-09-07 16:35:00,100000000
3624,11,40,9,18,21,48,6,2016-09-07 18:35:00,100000000
3625,48,7,42,14,47,30,6,2016-09-07 20:35:00,100000000
3626,5,35,10,4,23,37,39,2016-09-07 22:35:00,100000000
3627,5,37,7,21,15,43,35,2016-09-08 12:35:00,100000000
3628,28,30,47,5,31,43,23,2016-09-08 14:35:00,100000000
3629,44,46,45,42,31,18,24,2016-09-08 16:35:00,100000000
3630,34,20,42,15,1,6,48,2016-09-08 18:35:00,100000000
3631,42,34,17,12,23,29,20,2016-09-08 20:35:00,100000000
3632,6,46,18,29,27,10,33,2016-09-08 22:35:00,100000000
3633,30,43,46,16,42,19,6,2016-09-09 12:35:00,100000000
3634,14,17,26,13,32,27,22,2016-09-09 14:35:00,100000000
3635,8,32,6,31,13,35,14,2016-09-09 16:35:00,100000000
3636,46,34,44,9,23,14,40,2016-09-09 18:35:00,100000000
3637,26,2,44,6,1,5,12,2016-09-09 20:35:00,100000000
3638,2,14,1,44,16,49,26,2016-09-09 22:35:00,100000000
3639,25,9,12,45,48,6,23,2016-09-10 12:35:00,100000000
3640,40,49,42,36,39,32,35,2016-09-10 14:35:00,100000000
3641,44,11,16,37,25,26,7,2016-09-10 16:35:00,100000000
3642,29,30,45,47,44,1,27,2016-09-10 18:35:00,100000000
3643,34,27,32,8,42,33,4,2016-09-10 20:35:00,100000000
3644,11,32,44,13,23,6,31,2016-09-10 22:35:00,100000000
3645,37,8,9,27,22,14,21,2016-09-11 12:35:00,100000000
3646,45,40,49,17,6,24,28,2016-09-11 14:35:00,100000000
3647,4,47,41,40,42,37,3,2016-09-11 16:35:00,100000000
3648,5,37,9,10,34,1,41,2016-09-11 18:35:00,100000000
3649,38,28,15,18,6,19,42,2016-09-11 20:35:00,100000000
3650,1,21,32,5,11,34,8,2016-09-11 22:35:00,100000000
3651,22,15,20,35,7,43,44,2016-09-12 12:35:00,100000000
3652,28,24,25,10,5,8,45,2016-09-12 14:35:00,100000000
3653,14,31,15,27,37,46,8,2016-09-12 16:35:00,100000000
3654,36,1,31,12,16,22,26,2016-09-12 18:35:00,100000000
3655,7,13,5,12,18,6,35,2016-09-12 20:35:00,100000000
3656,23,21,34,13,25,3,14,2016-09-12 22:35:00,100000000
3657,15,42,27,37,11,2,9,2016-09-13 12:35:00,100000000
3658,29,43,32,19,15,11,4,2016-09-13 14:35:00,100000000
3659,4,34,16,27,26,14,49,2016-09-13 16:35:00,100000000
3660,30,19,22,4,17,42,24,2016-09-13 18:35:00,100000000
3661,9,22,25,47,18,24,3,2016-09-13 20:35:00,100000000
3662,14,13,43,35,19,28,2,2016-09-13 22:35:00,100000000
3663,2,39,41,48,35,8,49,2016-09-14 12:35:00,100000000
3664,22,39,25,7,28,49,15,2016-09-14 14:35:00,100000000
3665,6,48,5,13,28,40,3,2016-09-14 16:35:00,100000000
3666,8,9,11,19,25,41,5,2016-09-14 18:35:00,100000000
3667,32,2,26,40,9,11,6,2016-09-14 20:35:00,100000000
3668,30,23,24,31,42,27,37,2016-09-14 22:35:00,100000000
3669,4,12,29,42,39,40,41,2016-09-15 12:35:00,100000000
3670,39,15,42,2,10,16,46,2016-09-15 14:35:00,100000000
3671,25,17,20,21,33,31,38,2016-09-15 16:35:00,100000000
3672,23,1,42,36,4,35,16,2016-09-15 18:35:00,100000000
3673,31,22,27,17,48,19,46,2016-09-15 20:35:00,100000000
3674,49,43,10,23,14,21,17,2016-09-15 22:35:00,100000000
3675,39,48,11,22,42,10,1,2016-09-16 12:35:00,300000000
3676,32,8,18,20,22,39,3,2016-09-16 14:35:00,300000000
3677,32,5,17,34,21,12,45,2016-09-16 16:35:00,300000000
3678,37,15,8,18,26,29,46,2016-09-16 18:35:00,300000000
3679,21,9,33,10,14,47,7,2016-09-16 20:35:00,300000000
3680,3,40,36,47,41,22,21,2016-09-16 22:35:00,300000000
3681,25,42,38,26,49,14,2,2016-09-17 12:35:00,300000000
3682,38,22,11,28,33,45,4,2016-09-17 14:35:00,300000000
3683,18,39,47,25,2,30,6,2016-09-17 16:35:00,300000000
3684,2,9,32,16,20,30,3,2016-09-17 18:35:00,300000000
3685,37,17,30,21,2,6,3,2016-09-17 20:35:00,300000000
3686,2,14,26,23,41,21,44,2016-09-17 22:35:00,300000000
3687,16,39,31,41,49,10,1,2016-09-18 12:35:00,300000000
3688,8,5,22,15,29,3,47,2016-09-18 14:35:00,300000000
3689,8,10,22,37,16,39,34,2016-09-18 16:35:00,300000000
3690,34,35,30,2,3,43,16,2016-09-18 18:35:00,300000000
3691,19,48,18,29,3,44,25,2016-09-18 20:35:00,300000000
3692,35,20,23,26,27,17,30,2016-09-18 22:35:00,300000000
3693,23,31,21,29,10,40,33,2016-09-19 12:35:00,300000000
3694,47,11,16,14,9,18,12,2016-09-19 14:35:00,300000000
3695,16,15,47,43,34,14,6,2016-09-19 16:35:00,300000000
3696,41,31,33,32,25,18,44,2016-09-19 18:35:00,300000000
3697,30,16,28,26,18,23,10,2016-09-19 20:35:00,300000000
3698,29,28,41,26,47,8,46,2016-09-19 22:35:00,300000000
3699,35,43,46,28,26,13,16,2016-09-20 12:35:00,300000000
3700,13,41,47,29,16,34,19,2016-09-20 14:35:00,300000000
3701,11,5,30,28,19,34,1,2016-09-20 16:35:00,300000000
3702,14,22,33,10,17,29,39,2016-09-20 18:35:00,300000000
3703,24,42,45,37,5,10,12,2016-09-20 20:35:00,300000000
3704,21,10,45,44,41,17,47,2016-09-20 22:35:00,300000000
3705,49,31,29,42,48,14,47,2016-09-21 12:35:00,300000000
3706,5,46,39,9,42,36,6,2016-09-21 14:35:00,300000000
3707,16,10,39,42,20,31,21,2016-09-21 16:35:00,300000000
3708,42,49,48,30,1,24,31,2016-09-21 18:35:00,300000000
3709,11,3,29,2,37,17,32,2016-09-21 20:35:00,300000000
3710,32,40,7,22,24,8,10,2016-09-21 22:35:00,300000000
3711,33,26,18,6,40,37,12,2016-09-22 12:35:00,300000000
3712,48,46,39,30,7,1,27,2016-09-22 14:35:00,300000000
3713,21,26,25,15,18,13,46,2016-09-22 16:35:00,300000000
3714,15,16,47,21,34,1,22,2016-09-22 18:35:00,300000000
3715,47,29,46,34,19,48,28,2016-09-22 20:35:00,300000000
3716,17,7,37,13,4,23,48,2016-09-22 22:35:00,300000000
3717,31,46,29,27,1,10,2,2016-09-23 12:35:00,300000000
3718,7,20,28,49,43,12,24,2016-09-23 14:35:00,300000000
3719,40,33,23,25,20,49,10,2016-09-23 16:35:00,300000000
3720,43,41,24,28,35,2,21,2016-09-23 18:35:00,300000000
3721,45,18,44,49,19,41,3,2016-09-23 20:35:00,300000000
3722,12,2,47,40,32,1,34,2016-09-23 22:35:00,300000000
3723,15,40,35,5,31,9,3,2016-09-24 12:35:00,300000000
3724,11,36,26,8,28,3,20,2016-09-24 14:35:00,300000000
3725,16,17,35,6,11,45,9,2016-09-24 16:35:00,300000000
3726,25,17,9,49,4,3,32,2016-09-24 18:35:00,300000000
3727,16,8,39,35,5,18,3,2016-09-24 20:35:00,300000000
3728,28,18,25,39,11,40,13,2016-09-24 22:35:00,300000000
3729,22,41,48,17,34,11,8,2016-09-25 12:35:00,300000000
3730,29,37,40,24,15,49,14,2016-09-25 14:35:00,300000000
3731,2,48,1,20,21,49,14,2016-09-25 16:35:00,300000000
3732,47,18,2,23,36,38,31,2016-09-25 18:35:00,300000000
3733,43,9,12,26,44,31,25,2016-09-25 20:35:00,300000000
3734,1,32,24,16,49,27,19,2016-09-25 22:35:00,300000000
3735,42,46,13,7,36,12,35,2016-09-29 22:35:00,43380780
3736,10,33,12,8,3,38,37,2016-09-30 12:35:00,100000000
3737,30,12,21,5,22,1,15,2016-09-30 14:35:00,100000000
3738,3,20,9,17,10,7,38,2016-09-30 16:35:00,100000000
3739,15,30,31,49,10,34,36,2016-09-30 18:35:00,100000000
3740,48,42,35,20,39,34,45,2016-09-30 20:35:00,100000000
3741,10,9,28,23,47,42,32,2016-09-30 22:35:00,100000000
3742,22,23,27,11,49,7,30,2016-10-01 12:35:00,100000000
3743,24,26,16,38,47,3,14,2016-10-01 14:35:00,100000000
3744,10,1,37,14,30,34,22,2016-10-01 16:35:00,100000000
3745,21,10,15,20,42,41,29,2016-10-01 18:35:00,100000000
3746,32,28,14,9,49,37,33,2016-10-01 20:35:00,100000000
3747,15,17,29,14,47,19,37,2016-10-01 22:35:00,100000000
3748,7,28,43,32,1,12,3,2016-10-02 12:35:00,100000000
3749,34,9,49,13,29,47,39,2016-10-02 14:35:00,100000000
3750,47,30,21,27,42,16,29,2016-10-02 16:35:00,100000000
3751,32,31,39,13,1,37,7,2016-10-02 18:35:00,100000000
3752,12,15,7,18,28,39,40,2016-10-02 20:35:00,100000000
3753,32,35,24,41,31,43,18,2016-10-02 22:35:00,100000000
3754,40,48,38,5,17,32,44,2016-10-03 12:35:00,100000000
3755,19,31,27,29,15,5,24,2016-10-03 14:35:00,100000000
3756,18,14,15,47,11,46,16,2016-10-03 16:35:00,100000000
3757,2,41,46,39,23,24,27,2016-10-03 18:35:00,100000000
3758,11,19,37,31,29,5,17,2016-10-03 20:35:00,100000000
3759,48,45,40,4,10,38,22,2016-10-03 22:35:00,100000000
3760,26,10,36,42,28,43,12,2016-10-04 12:35:00,100000000
3761,26,34,38,9,43,7,47,2016-10-04 14:35:00,100000000
3762,45,9,43,12,34,38,29,2016-10-04 16:35:00,100000000
3763,2,44,12,23,42,33,17,2016-10-04 18:35:00,100000000
3764,6,39,15,23,45,32,33,2016-10-04 20:35:00,100000000
3765,37,40,46,15,33,38,44,2016-10-04 22:35:00,100000000
3766,11,3,12,36,46,17,48,2016-10-05 12:35:00,100000000
3767,38,11,4,22,19,27,30,2016-10-05 14:35:00,100000000
3768,20,30,46,49,35,5,26,2016-10-05 16:35:00,100000000
3769,11,21,13,5,40,30,15,2016-10-05 18:35:00,100000000
3770,39,30,8,29,28,32,38,2016-10-05 20:35:00,100000000
3771,36,2,25,29,18,16,1,2016-10-05 22:35:00,100000000
3772,25,36,29,35,48,6,49,2016-10-06 12:35:00,100000000
3773,40,45,16,15,31,39,1,2016-10-06 14:35:00,100000000
3774,25,12,1,40,7,41,14,2016-10-06 16:35:00,100000000
3775,40,19,27,41,1,47,42,2016-10-06 18:35:00,100000000
3776,42,8,9,15,25,19,44,2016-10-06 20:35:00,100000000
3777,18,26,19,33,2,35,1,2016-10-06 22:35:00,100000000
3778,18,26,15,48,41,21,44,2016-10-07 12:35:00,200000000
3779,27,12,6,46,28,1,49,2016-10-07 14:35:00,200000000
3780,39,34,12,29,28,9,37,2016-10-07 16:35:00,200000000
3781,46,21,29,25,39,31,24,2016-10-07 18:35:00,200000000
3782,23,12,1,21,40,33,2,2016-10-07 20:35:00,200000000
3783,39,35,32,47,21,18,44,2016-10-07 22:35:00,200000000
3784,26,8,42,6,38,24,13,2016-10-08 12:35:00,200000000
3785,32,33,19,25,22,29,8,2016-10-08 14:35:00,200000000
3786,17,3,19,43,18,11,4,2016-10-08 16:35:00,200000000
3787,33,37,6,10,42,22,27,2016-10-08 18:35:00,200000000
3788,45,48,7,19,9,49,34,2016-10-08 20:35:00,200000000
3789,27,3,28,15,9,24,22,2016-10-08 22:35:00,200000000
3790,39,21,38,5,20,42,18,2016-10-09 12:35:00,200000000
3791,33,23,17,39,2,18,28,2016-10-09 14:35:00,200000000
3792,29,31,45,4,2,15,42,2016-10-09 16:35:00,200000000
3793,32,11,18,27,42,29,5,2016-10-09 18:35:00,200000000
3794,20,38,2,4,34,6,39,2016-10-09 20:35:00,200000000
3795,41,43,28,49,34,2,45,2016-10-09 22:35:00,200000000
3796,11,19,5,26,44,27,21,2016-10-10 12:35:00,200000000
3797,1,40,2,49,10,35,6,2016-10-10 14:35:00,200000000
3798,16,48,29,37,11,32,31,2016-10-10 16:35:00,200000000
3799,35,20,1,14,37,15,12,2016-10-10 18:35:00,200000000
3800,21,23,24,43,34,19,2,2016-10-10 20:35:00,200000000
3801,48,37,7,32,13,36,3,2016-10-10 22:35:00,200000000
3802,28,20,42,27,38,7,6,2016-10-11 12:35:00,200000000
3803,5,48,34,35,33,4,10,2016-10-11 14:35:00,200000000
3804,17,48,15,29,4,7,33,2016-10-11 16:35:00,200000000
3805,29,31,44,17,35,2,6,2016-10-11 18:35:00,200000000
3806,10,28,36,6,5,2,11,2016-10-11 20:35:00,200000000
3807,18,10,13,45,19,24,47,2016-10-11 22:35:00,200000000
3808,43,40,16,42,13,4,23,2016-10-12 12:35:00,200000000
3809,3,10,35,40,33,36,22,2016-10-12 14:35:00,200000000
3810,11,44,42,32,41,45,17,2016-10-12 16:35:00,200000000
3811,45,24,22,44,30,46,48,2016-10-12 18:35:00,200000000
3812,49,41,48,44,18,5,47,2016-10-12 20:35:00,200000000
3813,18,37,48,47,24,14,20,2016-10-12 22:35:00,200000000
3814,23,6,39,10,48,18,25,2016-10-13 12:35:00,200000000
3815,25,19,6,38,11,36,40,2016-10-13 14:35:00,200000000
3816,17,27,29,14,21,41,15,2016-10-13 16:35:00,200000000
3817,46,21,37,36,43,27,26,2016-10-13 18:35:00,200000000
3818,41,14,47,7,40,10,24,2016-10-13 20:35:00,200000000
3819,12,34,20,48,39,38,49,2016-10-13 22:35:00,200000000
3820,1,22,15,30,45,10,35,2016-10-14 12:35:00,200000000
3821,28,49,9,15,38,6,11,2016-10-14 14:35:00,200000000
3822,14,30,37,42,13,1,3,2016-10-14 16:35:00,200000000
3823,35,1,33,44,29,14,38,2016-10-14 18:35:00,200000000
3824,11,20,49,23,5,42,35,2016-10-14 20:35:00,200000000
3825,3,15,26,44,11,14,41,2016-10-14 22:35:00,200000000
3826,43,20,17,30,19,44,31,2016-10-15 12:35:00,200000000
3827,27,47,28,23,25,16,17,2016-10-15 14:35:00,200000000
3828,29,13,49,43,16,41,10,2016-10-15 16:35:00,200000000
3829,8,15,30,39,11,32,18,2016-10-15 18:35:00,200000000
3830,18,29,9,5,14,38,12,2016-10-15 20:35:00,200000000
3831,49,10,9,18,12,34,8,2016-10-15 22:35:00,200000000
3832,3,28,29,11,40,48,21,2016-10-16 12:35:00,200000000
3833,14,20,1,5,12,25,31,2016-10-16 14:35:00,200000000
3834,38,8,42,2,17,44,30,2016-10-16 16:35:00,200000000
3835,36,8,6,33,44,14,28,2016-10-16 18:35:00,200000000
3836,30,22,37,29,12,38,1,2016-10-16 20:35:00,200000000
3837,28,21,45,22,25,44,40,2016-10-16 22:35:00,200000000
3838,10,18,3,45,33,34,27,2016-10-17 12:35:00,200000000
3839,49,34,22,25,16,4,14,2016-10-17 14:35:00,200000000
3840,42,35,29,36,19,25,1,2016-10-17 16:35:00,200000000
3841,30,7,22,6,24,21,11,2016-10-17 18:35:00,200000000
3842,18,41,14,33,28,13,49,2016-10-17 20:35:00,200000000
3843,2,18,28,33,14,37,40,2016-10-17 22:35:00,200000000
3844,22,11,34,9,39,18,7,2016-10-18 12:35:00,200000000
3845,22,20,5,18,36,6,26,2016-10-18 14:35:00,200000000
3846,28,12,45,9,49,41,47,2016-10-18 16:35:00,200000000
3847,43,27,42,12,44,8,18,2016-10-18 18:35:00,200000000
3848,31,2,21,49,28,30,15,2016-10-18 20:35:00,200000000
3849,33,41,23,31,21,32,11,2016-10-18 22:35:00,200000000
3850,44,48,21,49,20,29,32,2016-10-19 12:35:00,200000000
3851,41,38,33,43,19,2,24,2016-10-19 14:35:00,200000000
3852,42,46,32,7,22,2,34,2016-10-19 16:35:00,200000000
3853,6,3,18,16,46,29,25,2016-10-19 18:35:00,200000000
3854,4,25,41,45,48,24,33,2016-10-19 20:35:00,200000000
3855,24,12,10,43,3,31,19,2016-10-19 22:35:00,200000000
3856,40,15,37,27,16,24,39,2016-10-20 12:35:00,200000000
3857,2,31,38,6,10,15,4,2016-10-20 14:35:00,200000000
3858,18,24,32,9,48,7,5,2016-10-20 16:35:00,200000000
3859,17,15,11,40,13,12,25,2016-10-20 18:35:00,200000000
3860,35,4,38,40,33,43,31,2016-10-20 20:35:00,200000000
3861,21,35,44,45,22,25,9,2016-10-20 22:35:00,200000000
3862,22,9,27,1,16,17,24,2016-10-21 12:35:00,200000000
3863,22,10,27,21,8,9,40,2016-10-21 14:35:00,200000000
3864,9,49,4,7,40,42,15,2016-10-21 16:35:00,200000000
3865,7,35,32,43,18,16,12,2016-10-21 18:35:00,200000000
3866,34,48,22,1,7,42,13,2016-10-21 20:35:00,200000000
3867,14,34,32,45,2,10,37,2016-10-21 22:35:00,200000000
3868,48,39,35,17,47,4,37,2016-10-22 12:35:00,200000000
3869,28,47,11,3,18,15,5,2016-10-22 14:35:00,200000000
3870,15,3,39,9,13,25,33,2016-10-22 16:35:00,200000000
3871,37,48,9,10,33,44,12,2016-10-22 18:35:00,200000000
3872,28,42,29,48,24,16,14,2016-10-22 20:35:00,200000000
3873,46,22,45,3,21,40,6,2016-10-22 22:35:00,200000000
3874,15,3,5,7,33,39,17,2016-10-23 12:35:00,200000000
3875,16,8,39,6,33,12,32,2016-10-23 14:35:00,200000000
3876,8,46,10,42,35,39,48,2016-10-23 16:35:00,200000000
3877,12,31,48,30,7,45,27,2016-10-23 18:35:00,200000000
3878,9,42,25,16,21,12,4,2016-10-23 20:35:00,200000000
3879,35,18,36,31,10,16,12,2016-10-23 22:35:00,200000000
3880,22,11,26,29,36,23,33,2016-10-24 12:35:00,200000000
3881,17,3,41,48,36,45,37,2016-10-24 14:35:00,200000000
3882,31,38,19,8,9,48,28,2016-10-24 16:35:00,200000000
3883,20,17,42,49,9,40,2,2016-10-24 18:35:00,200000000
3884,41,16,47,49,21,38,8,2016-10-24 20:35:00,200000000
3885,27,36,5,14,18,3,12,2016-10-24 22:35:00,200000000
3886,34,35,36,7,39,24,4,2016-10-25 12:35:00,200000000
3887,42,4,9,38,28,22,3,2016-10-25 14:35:00,200000000
3888,40,48,5,20,1,37,32,2016-10-25 16:35:00,200000000
3889,15,20,5,31,8,12,25,2016-10-25 18:35:00,200000000
3890,46,32,30,38,5,6,18,2016-10-25 20:35:00,200000000
3891,31,38,33,39,10,26,42,2016-10-25 22:35:00,200000000
3892,29,19,26,21,44,24,43,2016-10-26 12:35:00,200000000
3893,36,20,5,28,38,18,16,2016-10-26 14:35:00,200000000
3894,48,23,6,31,47,42,27,2016-10-26 16:35:00,200000000
3895,42,23,41,5,38,12,31,2016-10-26 18:35:00,200000000
3896,16,49,39,11,44,14,35,2016-10-26 20:35:00,200000000
3897,10,48,49,20,17,5,21,2016-10-26 22:35:00,200000000
3898,46,31,16,10,8,15,37,2016-10-27 12:35:00,200000000
3899,21,29,48,20,45,4,36,2016-10-27 14:35:00,200000000
3900,13,25,48,37,20,29,40,2016-10-27 16:35:00,200000000
3901,16,33,49,31,3,20,7,2016-10-27 18:35:00,200000000
3902,49,44,46,47,18,13,42,2016-10-27 20:35:00,200000000
3903,49,30,1,18,20,23,38,2016-10-27 22:35:00,200000000
3904,22,14,8,23,1,27,35,2016-10-28 12:35:00,200000000
3905,17,23,2,14,40,15,32,2016-10-28 14:35:00,200000000
3906,23,10,7,15,22,49,40,2016-10-28 16:35:00,200000000
3907,30,47,17,35,48,37,5,2016-10-28 18:35:00,200000000
3908,23,37,8,42,3,34,22,2016-10-28 20:35:00,200000000
3909,49,15,34,12,29,24,42,2016-10-28 22:35:00,200000000
3910,5,37,17,1,42,10,39,2016-10-29 12:35:00,200000000
3911,4,49,44,2,7,25,41,2016-10-29 14:35:00,200000000
3912,11,13,28,1,16,40,44,2016-10-29 16:35:00,200000000
3913,28,29,4,13,43,10,6,2016-10-29 18:35:00,200000000
3914,14,7,4,29,38,28,36,2016-10-29 20:35:00,200000000
3915,2,29,13,34,21,22,36,2016-10-29 22:35:00,200000000
3916,33,38,44,42,7,27,3,2016-10-30 12:35:00,200000000
3917,36,49,7,21,14,38,16,2016-10-30 14:35:00,200000000
3918,27,34,38,15,21,39,30,2016-10-30 16:35:00,200000000
3919,38,15,21,20,47,28,24,2016-10-30 18:35:00,200000000
3920,33,34,25,31,46,49,21,2016-10-30 20:35:00,200000000
3921,35,29,45,43,10,19,31,2016-10-30 22:35:00,200000000
3922,14,47,6,49,25,8,37,2016-10-31 12:35:00,200000000
3923,11,8,13,17,24,30,20,2016-10-31 14:35:00,200000000
3924,39,25,2,45,7,42,20,2016-10-31 16:35:00,200000000
3925,28,25,10,7,32,19,43,2016-10-31 18:35:00,200000000
3926,6,34,47,14,25,21,29,2016-10-31 20:35:00,200000000
3927,42,26,6,22,28,5,32,2016-10-31 22:35:00,200000000
3928,25,46,13,45,38,37,35,2016-11-01 12:35:00,200000000
3929,20,47,26,34,44,12,41,2016-11-01 14:35:00,200000000
3930,2,23,13,20,28,29,11,2016-11-01 16:35:00,200000000
3931,49,19,13,3,27,30,47,2016-11-01 18:35:00,200000000
3932,25,8,31,17,48,2,29,2016-11-01 20:35:00,200000000
3933,24,22,7,42,34,1,15,2016-11-01 22:35:00,200000000
3934,37,49,28,35,12,46,42,2016-11-02 12:35:00,200000000
3935,10,44,28,6,12,4,11,2016-11-02 14:35:00,200000000
3936,13,25,19,16,28,24,9,2016-11-02 16:35:00,200000000
3937,36,35,29,37,34,25,41,2016-11-02 18:35:00,200000000
3938,14,48,49,6,29,32,24,2016-11-02 20:35:00,200000000
3939,31,47,35,28,1,6,38,2016-11-02 22:35:00,200000000
3940,28,1,14,31,19,23,27,2016-11-03 12:35:00,200000000
3941,42,29,36,11,6,12,8,2016-11-03 14:35:00,200000000
3942,44,43,2,32,48,34,47,2016-11-03 16:35:00,200000000
3943,37,9,20,23,25,39,11,2016-11-03 18:35:00,200000000
3944,30,10,22,36,26,5,18,2016-11-03 20:35:00,200000000
3945,23,3,25,27,28,9,36,2016-11-03 22:35:00,200000000
3946,10,15,13,33,20,47,28,2016-11-04 12:35:00,200000000
3947,35,39,19,36,20,47,32,2016-11-04 14:35:00,200000000
3948,5,25,33,30,34,9,37,2016-11-04 16:35:00,200000000
3949,48,32,21,8,20,12,35,2016-11-04 18:35:00,200000000
3950,38,19,40,1,36,28,23,2016-11-04 20:35:00,200000000
3951,46,36,17,2,1,13,38,2016-11-04 22:35:00,200000000
3952,48,42,22,25,37,32,23,2016-11-05 12:35:00,200000000
3953,4,44,21,34,3,22,15,2016-11-05 14:35:00,200000000
3954,33,6,18,22,49,30,24,2016-11-05 16:35:00,200000000
3955,9,4,13,25,17,30,31,2016-11-05 18:35:00,200000000
3956,45,18,25,29,8,41,1,2016-11-05 20:35:00,200000000
3957,21,30,11,10,18,19,8,2016-11-05 22:35:00,200000000
3958,24,28,33,10,27,30,29,2016-11-06 12:35:00,200000000
3959,2,35,4,6,21,26,48,2016-11-06 14:35:00,200000000
3960,41,43,1,16,9,24,45,2016-11-06 16:35:00,200000000
3961,16,17,44,34,6,33,27,2016-11-06 18:35:00,200000000
3962,11,35,13,23,6,17,15,2016-11-06 20:35:00,200000000
3963,27,9,17,13,7,11,20,2016-11-06 22:35:00,200000000
3964,38,29,39,37,7,42,44,2016-11-07 12:35:00,200000000
3965,48,34,26,8,28,11,23,2016-11-07 14:35:00,200000000
3966,1,21,23,29,18,48,39,2016-11-07 16:35:00,200000000
3967,28,42,8,12,41,3,45,2016-11-07 18:35:00,200000000
3968,4,19,41,14,47,28,48,2016-11-07 20:35:00,200000000
3969,34,27,19,12,1,23,33,2016-11-07 22:35:00,200000000
3970,11,44,36,25,48,33,37,2016-11-08 12:35:00,200000000
3971,31,9,11,45,30,2,17,2016-11-08 14:35:00,200000000
3972,33,31,40,9,32,19,36,2016-11-08 16:35:00,200000000
3973,19,46,10,37,43,40,12,2016-11-08 18:35:00,200000000
3974,18,48,38,37,36,2,28,2016-11-08 20:35:00,200000000
3975,15,3,30,6,5,40,31,2016-11-08 22:35:00,200000000
3976,40,25,1,31,34,14,37,2016-11-09 12:35:00,200000000
3977,30,44,47,19,46,15,9,2016-11-09 14:35:00,200000000
3978,13,49,42,7,44,22,16,2016-11-09 16:35:00,200000000
3979,11,31,30,10,34,40,21,2016-11-09 18:35:00,200000000
3980,38,7,37,40,47,34,23,2016-11-09 20:35:00,200000000
3981,14,31,35,32,43,7,30,2016-11-09 22:35:00,200000000
3982,39,36,35,25,13,3,40,2016-11-10 12:35:00,200000000
3983,40,43,42,7,3,27,34,2016-11-10 14:35:00,200000000
3984,10,48,31,11,35,26,33,2016-11-10 16:35:00,200000000
3985,18,35,26,24,45,49,48,2016-11-10 18:35:00,200000000
3986,42,6,22,18,40,43,38,2016-11-10 20:35:00,200000000
3987,4,37,26,1,30,8,24,2016-11-10 22:35:00,200000000
3988,48,45,14,19,26,37,44,2016-11-11 12:35:00,500000000
3989,23,33,28,34,21,4,19,2016-11-11 14:35:00,500000000
3990,6,22,21,30,48,11,26,2016-11-11 16:35:00,500000000
3991,37,28,10,31,14,22,36,2016-11-11 18:35:00,500000000
3992,11,39,33,22,13,15,29,2016-11-11 20:35:00,500000000
3993,23,43,11,38,25,18,16,2016-11-11 22:35:00,500000000
3994,15,40,42,13,34,47,21,2016-11-12 12:35:00,500000000
3995,6,34,19,37,29,8,21,2016-11-12 14:35:00,500000000
3996,14,26,16,23,30,38,11,2016-11-12 16:35:00,500000000
3997,17,3,2,24,1,13,40,2016-11-12 18:35:00,500000000
3998,45,25,2,12,1,31,5,2016-11-12 20:35:00,500000000
3999,10,1,21,29,7,20,27,2016-11-12 22:35:00,500000000
4000,9,37,24,36,18,30,49,2016-11-13 12:35:00,500000000
4001,40,15,27,43,12,41,24,2016-11-13 14:35:00,500000000
4002,9,36,43,46,48,10,32,2016-11-13 16:35:00,500000000
4003,9,5,23,28,2,27,13,2016-11-13 18:35:00,500000000
4004,22,15,43,21,23,33,25,2016-11-13 20:35:00,500000000
4005,28,43,25,44,29,36,26,2016-11-13 22:35:00,500000000
4006,1,4,30,10,25,41,6,2016-11-14 12:35:00,500000000
4007,12,5,6,17,38,33,45,2016-11-14 14:35:00,500000000
4008,13,36,41,34,35,12,21,2016-11-14 16:35:00,500000000
4009,1,11,37,41,36,10,17,2016-11-14 18:35:00,500000000
4010,45,28,41,10,23,30,24,2016-11-14 20:35:00,500000000
4011,14,31,6,15,44,41,27,2016-11-14 22:35:00,500000000
4012,18,17,12,40,23,26,39,2016-11-15 12:35:00,500000000
4013,14,10,20,29,36,48,35,2016-11-15 14:35:00,500000000
4014,18,10,33,35,44,42,29,2016-11-15 16:35:00,500000000
4015,45,38,20,14,21,37,17,2016-11-15 18:35:00,500000000
4016,18,6,43,24,2,39,41,2016-11-15 20:35:00,500000000
