tiraz,1-number,2-number,3-number,4-number,5-number,6-number,7-number,datetime,jackpot
144,33,5,12,1,9,10,37,2013-09-29 20:00:00,40000000
145,1,34,12,22,13,6,38,2013-10-06 20:00:00,40000000
146,42,16,45,15,17,39,1,2013-10-13 22:00:00,40000000
147,44,46,3,48,8,20,40,2013-10-14 20:00:00,40000000
148,38,40,36,17,28,18,19,2013-10-15 20:00:00,40000000
149,14,36,41,18,32,39,22,2013-10-16 20:00:00,40000000
150,10,17,35,20,18,36,22,2013-10-17 20:00:00,40000000
151,48,17,18,5,43,4,31,2013-10-18 20:00:00,40000000
152,14,2,30,17,28,7,10,2013-10-19 20:00:00,40000000
153,3,36,21,34,2,4,19,2013-10-20 20:00:00,40000000
154,13,34,20,29,46,28,48,2013-10-21 20:00:00,40000000
155,48,44,35,47,32,29,19,2013-10-22 20:00:00,40000000
156,39,11,42,13,48,40,1,2013-10-23 20:00:00,40000000
157,42,39,47,40,26,1,41,2013-10-24 20:00:00,40000000
158,23,35,49,37,45,16,41,2013-10-25 20:00:00,40000000
159,43,39,30,48,37,40,12,2013-10-26 20:00:00,40000000
160,35,18,6,25,44,32,7,2013-10-27 22:00:00,40000000
161,36,3,7,20,43,32,9,2013-11-03 22:00:00,40000000
162,10,8,43,18,16,21,29,2013-11-10 22:00:00,40000000
163,28,18,22,39,49,30,35,2013-11-17 22:00:00,40000000
164,7,26,29,10,1,46,9,2013-11-24 22:00:00,40000000
165,48,20,46,34,49,21,10,2013-12-01 22:00:00,40000000
166,14,23,48,2,15,36,39,2013-12-08 22:00:00,40000000
167,27,19,5,32,9,28,10,2013-12-15 22:00:00,40000000
168,14,5,17,27,4,16,44,2013-12-22 22:00:00,40000000
169,11,20,49,9,8,48,27,2013-12-29 22:00:00,40000000
170,3,25,36,21,18,42,29,2014-01-05 22:00:00,40000000
171,26,10,45,46,24,19,49,2014-01-12 22:00:00,40000000
172,43,48,18,21,39,37,28,2014-01-19 22:00:00,40000000
173,45,10,12,23,6,24,9,2014-01-26 22:00:00,40000000
174,44,20,1,16,6,5,40,2014-02-02 22:00:00,40000000
175,27,31,4,48,17,29,28,2014-02-09 22:00:00,40000000
176,25,27,5,43,9,24,34,2014-02-16 22:00:00,40000000
177,43,2,23,26,13,7,48,2014-02-23 22:00:00,40000000
178,7,14,10,25,11,29,36,2014-03-02 22:00:00,40000000
179,31,44,12,24,4,8,40,2014-03-09 22:00:00,40000000
180,36,12,28,1,10,41,49,2014-03-16 22:00:00,40000000
181,25,32,42,2,19,17,34,2014-03-23 22:00:00,40000000
182,32,33,22,15,30,8,10,2014-03-30 22:00:00,40000000
183,2,35,37,42,22,12,8,2014-04-06 22:00:00,40000000
184,1,37,16,21,17,10,45,2014-04-13 22:00:00,40000000
185,42,5,44,39,45,37,26,2014-04-20 22:00:00,40000000
186,29,23,27,20,17,48,5,2014-04-27 22:00:00,40000000
187,15,38,43,5,29,46,32,2014-04-28 22:00:00,40000000
188,49,43,2,26,30,36,37,2014-04-30 22:00:00,40000000
189,35,32,21,48,43,24,12,2014-05-02 22:00:00,40000000
190,30,1,11,3,18,49,24,2014-05-05 22:00:00,40000000
191,13,39,29,19,26,15,38,2014-05-07 22:00:00,40000000
192,39,30,9,10,36,23,4,2014-05-09 22:00:00,40000000
193,29,27,21,10,3,48,20,2014-05-12 22:00:00,40000000
194,3,4,15,27,38,9,20,2014-05-14 22:00:00,40000000
195,15,10,36,17,48,6,19,2014-05-16 22:00:00,40000000
196,47,13,23,21,14,29,20,2014-05-19 22:00:00,40000000
197,27,37,48,31,21,32,23,2014-05-21 22:00:00,40000000
198,38,20,21,13,48,37,43,2014-05-23 22:00:00,40000000
199,47,29,36,9,12,11,46,2014-05-26 22:00:00,40000000
200,20,8,12,6,38,4,40,2014-05-28 22:00:00,40000000
201,14,42,33,7,47,2,31,2014-05-30 22:00:00,40000000
202,23,37,41,5,19,24,12,2014-06-02 22:00:00,40000000
203,27,36,13,22,34,3,12,2014-06-04 22:00:00,40000000
204,19,45,34,18,38,21,32,2014-06-06 22:00:00,40000000
205,28,41,47,9,15,46,45,2014-06-09 22:00:00,40000000
